importer,exporter,MA_contig,MA_dist
32,36,0.0,11801.36
32,50,0.0,16788.4
32,56,0.0,11326.76
32,124,0.0,8970.104
32,156,0.0,19297.47
32,170,0.0,4706.263
32,218,0.0,4360.514
32,251,0.0,11072.25
32,320,0.0,6446.824
32,344,0.0,18478.89
32,360,0.0,15235.78
32,380,0.0,11173.56
32,392,0.0,18372.04
32,410,0.0,19447.35
32,458,0.0,15970.66
32,484,0.0,7397.651
32,528,0.0,11466.75
32,566,0.0,7938.363
32,604,0.0,3133.925
32,608,0.0,17801.66
32,682,0.0,12880.18
32,699,0.0,15817.92
32,702,0.0,15891.11
32,704,0.0,17877.15
32,757,0.0,11214.51
32,764,0.0,16890.18
32,784,0.0,13557.2
32,826,0.0,11147.48
32,842,0.0,8542.694
36,32,0.0,11801.36
36,50,0.0,9077.625
36,56,0.0,16759.6
36,124,0.0,15586.66
36,156,0.0,8956.436
36,170,0.0,14260.45
36,218,0.0,13617.09
36,251,0.0,16975.46
36,320,0.0,13518.06
36,344,0.0,7377.491
36,360,0.0,5511.902
36,380,0.0,16333.25
36,392,0.0,7831.446
36,410,0.0,8329.652
36,458,0.0,6617.087
36,484,0.0,12985.17
36,528,0.0,16658.11
36,566,0.0,15521.28
36,604,0.0,12809.17
36,608,0.0,6275.747
36,682,0.0,12782.14
36,699,0.0,10435.1
36,702,0.0,6301.786
36,704,0.0,7769.68
36,757,0.0,16673.2
36,764,0.0,7539.52
36,784,0.0,12092.16
36,826,0.0,17011.27
36,842,0.0,16008.79
50,32,0.0,16788.4
50,36,0.0,9077.625
50,56,0.0,7724.392
50,124,0.0,12464.92
50,156,0.0,3036.238
50,170,0.0,16506.31
50,218,0.0,17158.54
50,251,0.0,7916.79
50,320,0.0,15766.3
50,344,0.0,2439.355
50,360,0.0,3767.354
50,380,0.0,7311.514
50,392,0.0,4903.568
50,410,0.0,3800.079
50,458,0.0,2593.442
50,484,0.0,15124.74
50,528,0.0,7651.716
50,566,0.0,9414.313
50,604,0.0,18180.65
50,608,0.0,3363.789
50,682,0.0,4409.454
50,699,1.0,1421.938
50,702,0.0,2887.813
50,704,0.0,1622.246
50,757,0.0,7595.708
50,764,0.0,1538.62
50,784,0.0,3643.561
50,826,0.0,8011.9
50,842,0.0,12680.43
56,32,0.0,11326.76
56,36,0.0,16759.6
56,50,0.0,7724.392
56,124,0.0,6031.534
56,156,0.0,7970.82
56,170,0.0,8874.132
56,218,0.0,9535.309
56,251,1.0,262.384
56,320,0.0,9095.274
56,344,0.0,9405.117
56,360,0.0,11416.28
56,380,0.0,1174.904
56,392,0.0,9463.263
56,410,0.0,8722.114
56,458,0.0,10261.22
56,484,0.0,9259.353
56,528,1.0,173.033
56,566,0.0,4940.509
56,604,0.0,10464.8
56,608,0.0,10515.8
56,682,0.0,4636.352
56,699,0.0,6419.599
56,702,0.0,10571.47
56,704,0.0,8989.95
56,757,0.0,487.456
56,764,0.0,9260.542
56,784,0.0,5159.97
56,826,0.0,323.78
56,842,0.0,5891.711
124,32,0.0,8970.104
124,36,0.0,15586.66
124,50,0.0,12464.92
124,56,0.0,6031.534
124,156,0.0,10598.32
124,170,0.0,4363.174
124,218,0.0,4884.964
124,251,0.0,6004.645
124,320,0.0,3398.818
124,344,0.0,12568.15
124,360,0.0,15815.39
124,380,0.0,7089.198
124,392,0.0,10358.49
124,410,0.0,10617.7
124,458,0.0,14825.78
124,484,0.0,3267.29
124,528,0.0,5988.239
124,566,0.0,8946.49
124,604,0.0,6209.441
124,608,0.0,13226.18
124,682,0.0,10655.83
124,699,0.0,11643.63
124,702,0.0,15022.44
124,704,0.0,12816.55
124,757,0.0,6440.717
124,764,0.0,13647.12
124,784,0.0,11105.9
124,826,0.0,5715.747
124,842,1.0,548.395
156,32,0.0,19297.47
156,36,0.0,8956.436
156,50,0.0,3036.238
156,56,0.0,7970.82
156,124,0.0,10598.32
156,170,0.0,14937.48
156,218,0.0,15364.41
156,251,0.0,8225.232
156,320,0.0,13351.5
156,344,1.0,1976.249
156,360,0.0,5220.879
156,380,0.0,8134.695
156,392,0.0,2098.111
156,410,0.0,955.651
156,458,0.0,4355.047
156,484,0.0,12467.17
156,528,0.0,7831.141
156,566,0.0,11466.06
156,604,0.0,16666.29
156,608,0.0,2850.319
156,682,0.0,6605.185
156,699,1.0,3785.013
156,702,0.0,4484.657
156,704,1.0,2330.799
156,757,0.0,8084.264
156,764,0.0,3303.891
156,784,0.0,5966.427
156,826,0.0,8151.353
156,842,0.0,10993.68
170,32,0.0,4706.263
170,36,0.0,14260.45
170,50,0.0,16506.31
170,56,0.0,8874.132
170,124,0.0,4363.174
170,156,0.0,14937.48
170,218,1.0,662.653
170,251,0.0,8707.677
170,320,0.0,2025.943
170,344,0.0,16876.18
170,360,0.0,19772.34
170,380,0.0,9471.443
170,392,0.0,14262.86
170,410,0.0,14817.3
170,458,0.0,19097.63
170,484,0.0,3088.959
170,528,0.0,8927.356
170,566,0.0,8694.004
170,604,1.0,1875.294
170,608,0.0,17255.37
170,682,0.0,12951.61
170,699,0.0,15290.56
170,702,0.0,19364.4
170,704,0.0,17177.21
170,757,0.0,9070.684
170,764,0.0,17931.82
170,784,0.0,13680.45
170,826,0.0,8570.659
170,842,0.0,4021.171
218,32,0.0,4360.514
218,36,0.0,13617.09
218,50,0.0,17158.54
218,56,0.0,9535.309
218,124,0.0,4884.964
218,156,0.0,15364.41
218,170,1.0,662.653
218,251,0.0,9367.098
218,320,0.0,2118.501
218,344,0.0,17224.25
218,360,0.0,19116.09
218,380,0.0,10117.13
218,392,0.0,14448.87
218,410,0.0,15129.37
218,458,0.0,19710.32
218,484,0.0,3141.729
218,528,0.0,9589.459
218,566,0.0,9131.473
218,604,1.0,1330.425
218,608,0.0,17359.48
218,682,0.0,13552.53
218,699,0.0,15952.83
218,702,0.0,19747.4
218,704,0.0,17672.47
218,757,0.0,9727.094
218,764,0.0,18527.28
218,784,0.0,14293.43
218,826,0.0,9232.525
218,842,0.0,4584.073
251,32,0.0,11072.25
251,36,0.0,16975.46
251,50,0.0,7916.79
